CustomerID,TotalQuantity,TotalSpending,Country,TransactionCount
12346,74215,77183.60,United Kingdom,1
12347,2458,4310.00,Iceland,182
12348,2341,1797.24,Finland,31
12349,631,1757.55,Italy,73
12350,197,334.40,Norway,17
12352,536,2506.04,Norway,85
12353,20,89.00,Bahrain,4
12354,530,1079.40,Spain,58
12355,240,459.40,Bahrain,13
12356,1591,2811.43,Portugal,59
12357,2708,6207.67,Switzerland,131
12358,248,1168.06,Austria,19
12359,1622,6372.58,Cyprus,248
12360,1165,2662.06,Austria,129
12361,91,189.90,Belgium,10
12362,2229,5226.23,Belgium,266
12363,408,552.00,Unspecified,23
12364,1506,1313.10,Belgium,85
12365,174,641.38,Cyprus,22
12367,173,168.90,Denmark,11
12370,2353,3545.69,Cyprus,167
12371,591,1887.96,Switzerland,63
12372,794,1298.04,Denmark,52
12373,197,364.60,Austria,14
12374,342,742.93,Austria,33
12375,178,457.50,Finland,17
12377,944,1628.12,Switzerland,77
12378,2529,4008.62,Switzerland,219
12379,407,852.24,Belgium,40
12380,1127,2724.81,Belgium,104
12381,808,1845.31,Norway,87
12383,1532,1850.56,Belgium,99
12384,126,585.27,Switzerland,27
12386,354,401.90,Australia,10
12388,1462,2780.66,Australia,100
12390,353,549.84,Belgium,32
12391,300,460.89,Cyprus,100
12393,816,1582.60,Australia,64
12394,819,1272.48,Belgium,27
12395,2118,3018.63,Belgium,156
12397,1263,2409.90,Belgium,126
12398,1394,1635.66,Switzerland,85
12399,1178,1108.65,Belgium,59
12401,11,84.30,Belgium,5
12402,94,225.60,Belgium,11
12403,96,427.70,Denmark,5
12405,857,1710.39,Finland,54
12406,1818,3415.30,Denmark,105
12407,1416,1708.12,Belgium,77
12408,1409,2888.55,Belgium,105
12409,5551,11072.67,Switzerland,109
12410,211,693.33,Switzerland,26
12412,829,1226.88,Denmark,61
12413,286,758.10,France,38
12414,300,562.41,Austria,18
12415,77670,124914.53,Australia,716
12417,1552,3649.10,Belgium,192
12418,407,668.58,Switzerland,34
12420,345,600.39,Cyprus,29
12421,484,807.04,Spain,45
12422,370,803.56,Australia,39
12423,1339,1859.31,Belgium,125
12424,740,1760.96,Australia,30
12425,496,777.20,Portugal,36
12426,258,582.73,Germany,30
12427,533,825.80,Germany,31
12428,3536,7956.46,Finland,294
12429,1557,3750.40,Denmark,97
12430,117,256.40,Norway,11
12431,2918,6487.45,Australia,236
12432,1801,5059.32,Norway,108
12433,11071,13375.87,Norway,420
12434,394,806.14,Australia,50
12435,2055,7829.89,Denmark,36
12436,211,509.01,Norway,16
12437,2923,4951.41,France,200
12438,1180,2906.85,Norway,98
12441,121,173.55,France,11
12442,182,172.06,Spain,12
12444,1155,5005.46,Norway,177
12445,62,133.40,Spain,4
12446,352,1002.31,RSA,58
12447,190,476.49,Belgium,26
12448,243,449.45,Spain,22
12449,1553,4067.29,Belgium,191
12450,128,197.88,Spain,8
12451,6575,9035.52,Switzerland,354
12452,185,430.57,Switzerland,22
12453,473,707.09,Austria,43
12454,1006,3528.34,Spain,15
12455,2089,2466.86,Cyprus,90
12456,1633,3181.04,Switzerland,125
12457,844,2363.23,Switzerland,63
12458,506,947.40,Switzerland,38
12461,287,826.88,Switzerland,35
12462,536,1189.59,Spain,62
12463,776,1344.78,Belgium,83
12464,112,1212.05,Belgium,29
12465,479,742.19,Belgium,47
12468,366,729.54,Germany,38
12471,8212,19824.05,Germany,460
12472,4148,6572.11,Germany,339
12473,2439,3938.55,Germany,168
12474,4847,7375.79,Germany,424
12475,535,723.38,Germany,36
12476,2408,6816.42,Germany,233
12477,3653,13219.74,Germany,300
12478,236,680.99,Greece,36
12479,385,527.20,Germany,31
12480,1707,3281.63,Germany,154
12481,3304,5596.32,Germany,217
12483,1110,2484.98,Sweden,75
12484,2191,4541.72,Spain,346
12488,529,1298.66,France,55
12489,105,334.93,France,15
12490,3064,5417.93,France,245
12491,260,460.40,France,26
12492,192,263.21,Germany,20
12493,207,433.74,France,22
12494,707,1246.10,France,77
12497,1236,1043.10,Germany,14
12498,159,403.70,Germany,23
12500,2678,4257.82,Germany,61
12501,1783,2169.39,Germany,149
12502,820,3723.87,Spain,147
12504,90,482.05,Germany,9
12506,23,73.50,France,23
12507,905,1304.81,Spain,22
12508,272,398.27,France,69
12509,55,176.50,France,7
12510,353,982.57,Spain,33
12512,99,138.03,Israel,34
12513,462,612.29,France,35
12514,440,1017.68,Italy,51
12515,131,383.70,Italy,16
12516,875,1312.06,Germany,26
12517,1371,2502.84,Germany,284
12518,1318,2056.89,Germany,124
12519,183,340.84,Germany,18
12520,1439,2634.26,Germany,152
12521,309,599.68,Germany,38
12522,194,192.72,Germany,12
12523,865,1789.77,France,106
12524,3699,4485.72,Germany,144
12526,632,1316.66,Germany,71
12527,234,348.71,Germany,18
12528,756,1933.48,Germany,92
12530,913,1662.28,Germany,66
12531,45,125.22,Germany,17
12532,153,349.83,France,16
12534,651,1089.18,Germany,63
12535,219,716.35,France,34
12536,2803,12601.83,France,261
12538,191,363.95,Spain,21
12539,2067,5568.35,Spain,273
12540,6685,13400.24,Spain,478
12541,680,981.18,Spain,52
12544,136,372.70,Spain,19
12545,523,1000.39,Spain,50
12546,633,1161.50,Spain,69
12547,134,207.80,Spain,8
12548,49,95.20,Spain,5
12550,569,964.83,Spain,57
12551,100,168.00,Spain,10
12552,88,437.82,Italy,20
12553,1965,3692.28,France,191
12556,358,603.71,Spain,121
12557,4384,11990.96,Spain,33
12558,196,269.96,USA,11
12559,283,561.71,Germany,21
12560,1110,2134.01,Germany,105
12561,177,238.85,Germany,16
12562,1779,3781.74,France,168
12564,133,456.90,France,21
12565,80,145.92,Saudi Arabia,9
12566,265,351.65,Germany,19
12567,4305,9401.28,France,446
12569,1801,4124.69,Germany,188
12571,523,519.61,France,34
12572,452,1020.42,Germany,60
12573,84,160.54,France,28
12574,61,218.45,France,11
12576,967,1315.83,Poland,88
12577,472,657.80,France,147
12578,1196,2794.51,Italy,114
12579,285,440.42,France,29
12580,238,415.70,Germany,24
12581,161,197.71,Germany,15
12582,300,511.36,Finland,22
12583,5060,7281.38,France,247
12584,416,2338.15,Italy,96
12585,1279,2040.10,Germany,87
12586,79,196.94,Italy,11
12587,51,144.00,Finland,4
12588,53,214.90,Finland,10
12589,306,646.68,France,35
12590,4283,9864.26,Germany,68
12591,228,452.85,Italy,26
12592,290,437.60,Germany,18
12593,206,418.10,France,21
12594,1777,3338.22,Italy,118
12596,474,618.27,Spain,27
12597,2236,3811.22,Spain,206
12598,1964,3023.08,France,132
12599,956,1032.58,France,62
