StockCode,Description,TotalQuantity,TransactionCount
10002,,180,1
10002,INFLATABLE POLITICAL GLOBE,860,71
10080,,170,1
10080,GROOVY CACTUS INFLATABLE,303,22
10080,check,22,1
10120,DOGGY RUBBER,193,30
10123C,HEARTS WRAPPING TAPE,5,3
10124A,SPOTS ON RED BOOKCOVER TAPE,16,5
10124G,ARMY CAMO BOOKCOVER TAPE,17,4
10125,MINI FUNKY DESIGN TAPES,1296,94
10133,COLOURING PENCILS BROWN TUBE,2867,198
10135,COLOURING PENCILS BROWN TUBE,2231,179
11001,ASSTD DESIGN RACING CAR PEN,1615,115
15030,,150,1
15030,FAN BLACK FRAME,143,13
15034,PAPER POCKET TRAVELING FAN,6591,138
15036,ASSORTED COLOURS SILK FAN,23826,519
15039,SANDALWOOD FAN,2091,146
15044A,PINK PAPER PARASOL,464,103
15044B,BLUE PAPER PARASOL,321,60
15044C,PURPLE PAPER PARASOL,314,89
15044D,RED PAPER PARASOL,645,85
15056BL,EDWARDIAN PARASOL BLACK,2844,321
15056N,EDWARDIAN PARASOL NATURAL,3954,460
15056P,EDWARDIAN PARASOL PINK,778,146
15056bl,EDWARDIAN PARASOL BLACK,87,62
15056n,EDWARDIAN PARASOL NATURAL,127,84
15056p,EDWARDIAN PARASOL PINK,33,26
15058A,,20,1
15058A,BLUE POLKADOT GARDEN PARASOL,200,89
15058B,PINK POLKADOT GARDEN PARASOL,228,97
15058C,ICE CREAM DESIGN GARDEN PARASOL,240,72
15060B,,9,1
15060B,FAIRY CAKE DESIGN UMBRELLA,451,131
15060b,FAIRY CAKE DESIGN UMBRELLA,3,3
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,70
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3
16011,ANIMAL STICKERS,1773,47
16012,FOOD/DRINK SPONGE STICKERS,1244,37
16014,SMALL CHINESE STYLE SCISSOR,13328,54
16015,,400,1
16015,MEDIUM CHINESE STYLE SCISSOR,662,24
16016,LARGE CHINESE STYLE SCISSOR,1273,65
16020C,CLEAR STATIONERY BOX SET,84,17
16033,,120,1
16033,MINI HIGHLIGHTER PENS,840,4
16043,POP ART PUSH DOWN RUBBER,98,2
16045,POPART WOODEN PENCILS ASST,8900,69
16046,,21,1
16046,TEATIME PEN CASE & PENS,68,17
16048,TEATIME ROUND PENCIL SHARPENER,1461,69
16049,,74,1
16049,TEATIME GEL PENS ASST,504,5
16052,TEATIME PUSH DOWN RUBBER,479,13
16054,POPART RECT PENCIL SHARPENER ASST,1166,33
16151A,FLOWERS HANDBAG blue and orange,49,3
16156L,WRAP CAROUSEL,375,14
16156L,"WRAP, CAROUSEL",100,4
16156S,WRAP PINK FAIRY CAKES,5800,167
16161G,WRAP BAD HAIR DAY,700,22
16161M,WRAP  PINK FLOCK,25,1
16161P,WRAP ENGLISH ROSE,7226,249
16161U,WRAP SUKI AND FRIENDS,4075,134
16162L,,30,1
16162L,THE KING GIFT BAG,20,8
16162M,THE KING GIFT BAG 25x24x12cm,28,8
16162M,alan hodge cant mamage this section,30,1
16168M,FUNKY MONKEY GIFT BAG MEDIUM,371,41
16168M,found,44,1
16169E,WRAP 50'S  CHRISTMAS,4563,150
16169K,WRAP FOLK ART,200,8
16169M,WRAP DAISY CARPET,660,26
16169N,WRAP BLUE RUSSIAN FOLKART,25,1
16169P,WRAP GREEN RUSSIAN FOLKART,50,2
16202A,PASTEL PINK PHOTO ALBUM,7,2
16202B,PASTEL BLUE PHOTO ALBUM,29,2
16202E,BLACK PHOTO ALBUM,15,3
16206B,RED PURSE WITH PINK HEART,7,2
16207A,,1,1
16207A,PINK STRAWBERRY HANDBAG,60,34
16207A,check,2,1
16207B,,4,1
16207B,PINK HEART RED HANDBAG,29,18
16216,LETTER SHAPE PENCIL SHARPENER,3333,45
16218,CARTOON  PENCIL SHARPENERS,3821,64
16219,HOUSE SHAPE PENCIL SHARPENER,3048,100
16225,RATTLE SNAKE EGGS,815,104
16235,RECYCLED PENCIL WITH RABBIT ERASER,3104,169
16236,KITTY PENCIL ERASERS,1438,136
16237,SLEEPING CAT ERASERS,4994,297
16238,PARTY TIME PENCIL ERASERS,1398,136
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,2
16248B,,2,1
16248B,BLUE HOLE PUNCH,13,7
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,17
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,472,59
16259,PIECE OF CAMO STATIONERY SET,3380,31
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,1
17003,BROCADE RING PURSE,23056,242
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,81,7
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,323,66
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525,85
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,421,86
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,463,99
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,68,11
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,448,94
17012F,check,14,1
17013D,ORIGAMI ROSE INCENSE IN TUBE,535,13
17014A,,11,1
